name_native,locale_id,Geo Region,summary_en,name_en,wikipedia_url_en,image_url,alt_names,how_to_eat_en,tags,Season,Notes,Often Contains,Meal
Königsberger Klopse,de-DE,Königsberg (Kaliningrad),"meatballs made with ground pork or veal, served in a creamy sauce with capers",,https://en.wikipedia.org/wiki/K%C3%B6nigsberger_Klopse,https://upload.wikimedia.org/wikipedia/commons/5/57/Koenigsberger.jpg?20060909123929,,,meatball,,,"⚠️ Egg,⚠️ Wheat,🐄 Beef,🐖 Pork",Main
Labskaus,de-DE,North Sea and Baltic Sea,"a dish made from mashed potatoes, salted meat, onions, and beetroot",,https://en.wikipedia.org/wiki/Labskaus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Hamburger_Labskaus_1.jpg/1240px-Hamburger_Labskaus_1.jpg?20160320212846,,,,,"a dish made from corned beef or salted meat, mashed with potatoes, onions, and beetroot",🐄 Beef,Main
Matjes,de-DE,North Sea and Baltic Sea,herring fillets served with onions and pickles,,https://en.wikipedia.org/wiki/Soused_herring,https://upload.wikimedia.org/wikipedia/commons/3/30/Soused_herring%2C_Winkel.jpg,,,,Summer,,⚠️ Fish,Main
Maultaschen,de-DE,Swabia,"large dumpling stuffed with meat, spinach, and other fillings, often served in a broth",,https://en.wikipedia.org/wiki/Maultasche,https://upload.wikimedia.org/wikipedia/commons/3/33/Maultaschensuppe.jpg?20230226184329,,,,,,"⚠️ Egg,⚠️ Wheat,🐖 Pork",Main
Nürnberger Rostbratwurst,de-DE,Nuremberg,"a small sausage from Nuremberg, made with finely ground pork, flavored with marjoram, and grilled or roasted",,https://en.wikipedia.org/wiki/N%C3%BCrnberger_Rostbratwurst,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/N%C3%BCrnberger_Bratw%C3%BCrste.jpg/1599px-N%C3%BCrnberger_Bratw%C3%BCrste.jpg?20101104134548,,,sausage,,Protected Geographical Indication (PGI) status,🐖 Pork,Snack (Savory)
Reibekuchen,de-DE,Rheinland,fried potato pancakes typically served with apple sauce,,https://en.wikipedia.org/wiki/Reibekuchen,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Frische%2C_selbstgemachte_Reibekuchen-8786.jpg/1600px-Frische%2C_selbstgemachte_Reibekuchen-8786.jpg?20170214191744,,,,,,"⚠️ Egg,⚠️ Wheat",Snack (Savory)
Rouladen,de-DE,Germany,"thinly sliced beef rolled up with bacon, onions, and pickles, served in a rich gravy",,https://en.wikipedia.org/wiki/Roulade,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Rinderroulade_gef%C3%BCllt_Anschnitt_01.jpg/1599px-Rinderroulade_gef%C3%BCllt_Anschnitt_01.jpg?20200518115040,,,,,,🐖 Pork,Main
Sauerbraten,de-DE,Germany,"a pot roast made with heavily marinated beef, served with a sweet and sour sauce",,https://en.wikipedia.org/wiki/Sauerbraten,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/S%C3%A4chsischer_Sauerbraten.jpg/1600px-S%C3%A4chsischer_Sauerbraten.jpg?20110618181234,,,,,National dish of Germany,"⚠️ Wheat,🐄 Beef",Main
Sauerkraut,de-DE,"Alsace [fr], Bavaria [de]","fermented finely sliced cabbage, often seasoned with salt, caraway seeds, and juniper berries",,https://en.wikipedia.org/wiki/Sauerkraut,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wesselburenkraut_19.06.2012_18-35-26.jpg/1200px-Wesselburenkraut_19.06.2012_18-35-26.jpg?20121021125419,,,,,,,Side
Schnitzel,de-DE,Germany,"a thin, breaded and fried cutlet usually made with pork or veal",,https://en.wikipedia.org/wiki/Schnitzel,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Breitenlesau_Krug_Br%C3%A4u_Schnitzel.JPG/1599px-Breitenlesau_Krug_Br%C3%A4u_Schnitzel.JPG?20160517145702,,,,,,"⚠️ Egg,⚠️ Wheat,🐄 Beef,🐖 Pork",Main
Schweinshaxe,de-DE,Bavaria,"roasted ham hock (pork knuckle), usually served with sauerkraut and potatoes",,https://en.wikipedia.org/wiki/Schweinshaxe,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Schweinshaxe_Chiang_Mai.JPG/1574px-Schweinshaxe_Chiang_Mai.JPG?20100227085504,Stelze,,,,,🐖 Pork,Main
Spätzle,de-DE,Swabia,"soft egg noodles, often served with gravy or cheese",,https://en.wikipedia.org/wiki/Sp%C3%A4tzle,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sp%C3%A4tzle.jpg?20140127181601,,,,,,"⚠️ Egg,⚠️ Wheat",Side
Spreewald Gurken,de-DE,Brandenburg,"pickles from the Spreewald region, typically small and crunchy",,https://en.wikipedia.org/wiki/Spreewald_gherkins,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Spreewaldgurke2.jpg/980px-Spreewaldgurke2.jpg?20100926083703,,,,,Protected Geographical Indication (PGI),,Side
Thüringer Rostbratwurst,de-DE,Thuringia,"a thin spicy sausage from Thuringia flavored with marjoram, garlic, and caraway, and grilled or roasted",,https://en.wikipedia.org/wiki/Thuringian_sausage,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Th%C3%BCringer_Rostbratwurst.jpg/1600px-Th%C3%BCringer_Rostbratwurst.jpg?20080818084018,,,sausage,,Protected Geographical Indication (PGI) status,"🐄 Beef,🐖 Pork",Snack (Savory)
Weißwurst,de-DE,Bavaria,a greyish-white sausage made from veal and pork,,https://en.wikipedia.org/wiki/Weisswurst,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Weisswursttopf_Brezn_Senf.jpg/1200px-Weisswursttopf_Brezn_Senf.jpg?20130820163200,,,sausage,,Most Bavarians never eat Weißwürste after lunchtime.,"⚠️ Milk,⚠️ Wheat,🐄 Beef,🐖 Pork",Snack (Savory)
biryani,en-IN,India,"a flavorful rice dish made with spices, vegetables or meat, and saffron, often served with raita",,https://en.wikipedia.org/wiki/Biryani,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/1599px-%22Hyderabadi_Dum_Biryani%22.jpg?20210413145645,,,,,,🌶️ Spicy (Mild),Main
chapati,en-IN,India,an unleavened wheat flatbread,,https://en.wikipedia.org/wiki/Chapati,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/2_Chapati_warm_and_ready_to_be_eaten.jpg/1599px-2_Chapati_warm_and_ready_to_be_eaten.jpg?20140624024218,"chapatti, chappati, chapathi, chappathi, roti",,flatbread,,,⚠️ Wheat,Side
dosa,en-IN,India,"a thin, crispy pancake made from fermented rice and lentil batter, often served with https://www.notion.so/sambar-0dd6dd32aa8d433eba7db41dcf9dd811",,https://en.wikipedia.org/wiki/Dosa_(food),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Dosa_and_ghee.jpg/1599px-Dosa_and_ghee.jpg?20071130231304,"dosai [ta], dosey [kn], dosha [ml]",,crepe,,,,Main
idli,en-IN,India,"steamed cakes made from fermented rice and lentil batter, often served with https://www.notion.so/sambar-0dd6dd32aa8d433eba7db41dcf9dd811",,https://en.wikipedia.org/wiki/Idli,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Idli_-_A_Traditional_Indian_Food.JPG/1600px-Idli_-_A_Traditional_Indian_Food.JPG?20150610113223,idly,,,,,,Breakfast
payasam,en-IN,India,"a sweet, creamy dessert made from rice or vermicelli, milk, sugar, and nuts and flavored with cardamom and saffron",,https://en.wikipedia.org/wiki/Kheer,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Kheer.jpg/1600px-Kheer.jpg?20120602210210,kheer,,,,,"⚠️ Milk,⚠️ Tree Nut",Snack (Sweet)/Dessert
pongal,en-IN,India,"typically referring to venn pongal, a rice dish made with moong dal (split mung beans) and spices",,https://en.wikipedia.org/wiki/Pongal_(dish),https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Ven_pongal_with_sambar_and_chutney.jpg/1600px-Ven_pongal_with_sambar_and_chutney.jpg?20210414151603,,,,,,⚠️ Milk,Breakfast
puri,en-IN,India,a deep-fried bread made from unleavened whole-wheat flour,,https://en.wikipedia.org/wiki/Puri_(food),https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Fluffy_Poori.JPG/800px-Fluffy_Poori.JPG?20150603081355,poori,,"deep-fried,bread",,,⚠️ Wheat,Side
raita,en-IN,India,"a yogurt-based side dish, served as a cooling accompaniment to spicy dishes",,https://en.wikipedia.org/wiki/Raita,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Food-Raita.jpg/1600px-Food-Raita.jpg?20161003050543,,,,,,⚠️ Milk,Condiment
rasam,en-IN,India,"a tangy, spicy soup made from tamarind, tomatoes, and spices",,https://en.wikipedia.org/wiki/Rasam_(dish),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Rasam.JPG/1600px-Rasam.JPG?20110103070121,,,soup,,,🌶️ Spicy (Hot),Side
sambar,en-IN,India,"a spicy lentil-based vegetable stew, cooked with pigeon pea and tamarind broth",,https://en.wikipedia.org/wiki/Sambar_(dish),https://upload.wikimedia.org/wikipedia/commons/b/bb/Pumpkin_sambar.JPG?20150615183619,,,,,,🌶️ Spicy (Mild),Side
upma,en-IN,India,"a thick porridge made from semolina, vegetables, and spices",,https://en.wikipedia.org/wiki/Upma,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/A_photo_of_Upma.jpg/1600px-A_photo_of_Upma.jpg?20150507181505,"upma, uppumavu, uppittu",,,,,🌶️ Spicy (Mild),Breakfast
uttapam,en-IN,India,"a thick, savory pancake made from a fermented rice-and-lentil batter, topped with vegetables like onions, tomatoes, and green chilies",,https://en.wikipedia.org/wiki/Uttapam,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Mini_Uttappam.jpg/1600px-Mini_Uttappam.jpg?20110717052905,"uthapam, uttappam",,pancake,,,,Breakfast
vada,en-IN,India,"typically referring to medu vada, a savory doughnut made from a lentil-based batter, often served with https://www.notion.so/sambar-0dd6dd32aa8d433eba7db41dcf9dd811",,https://en.wikipedia.org/wiki/Medu_vada,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Medu_Vadas.JPG/1600px-Medu_Vadas.JPG?20150610112058,"medu vada, medhu vada, uddina vade [kn], urad vada, medhu vadai, ulundu vadai [ta], garelu [te], uzhunnu vada [ml], batuk [ne]",,"deep-fried,doughnut",,,,Snack (Savory)
김치,ko-KR,Korea,"spicy side dish made with various fermented vegetables, often cabbage or Korean radish",kimchi,https://en.wikipedia.org/wiki/Kimchi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gimchi.jpg/1600px-Gimchi.jpg?20060718085453,,,,,,"⚠️ Fish,⚠️ Shellfish,🌶️ Spicy (Hot)",Side
불고기,ko-KR,Korea,"thinly sliced marinated beef, possible stir-fried with vegetables",bulgogi,https://en.wikipedia.org/wiki/Bulgogi,https://upload.wikimedia.org/wikipedia/commons/c/ce/Bulgogi_2.jpg?20170105143138,,,,,,🐄 Beef,Main
비빔밥,ko-KR,Korea,"bowl of mixed rice topped with various vegetables, meat (usually beef), and egg, served with gochujang (spicy red pepper paste)",bibimbap,https://en.wikipedia.org/wiki/Bibimbap,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dolsot-bibimbap.jpg/1600px-Dolsot-bibimbap.jpg?20180323093444,,,,,,"⚠️ Egg,🐄 Beef",Main
삼겹살,ko-KR,Korea,thick slices of grilled pork belly often served with lettuce leaves and various condiments,samgyeopsal,https://en.wikipedia.org/wiki/Samgyeopsal,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Samgyeopsal-gui.jpg/1599px-Samgyeopsal-gui.jpg?20170729053023,,,,,,🐖 Pork,Main
잡채,ko-KR,Korea,"glass noodles mixed with stir-fried vegetables, meat, and mushrooms, served cold or warm",japchae,https://en.wikipedia.org/wiki/Japchae,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Polish_Korean_Cuisine_and_Culture_Exchanges_Gradmother%E2%80%99s_Recipes_05.jpg/1599px-Polish_Korean_Cuisine_and_Culture_Exchanges_Gradmother%E2%80%99s_Recipes_05.jpg?20191003063525,,,,,,"⚠️ Soy,🐄 Beef,🐖 Pork",Side
찌개,ko-KR,Korea,"stew made with various ingredients such as kimchi, tofu, seafood, or pork, often served hot and spicy",jjigae,https://en.wikipedia.org/wiki/Jjigae,https://upload.wikimedia.org/wikipedia/commons/8/8c/Korean.cuisine-Dubu.jjigae-01.jpg,,,stew,,,"⚠️ Soy,🌶️ Spicy (Hot),🐄 Beef,🐖 Pork",Main
abatanado,pt-PT,Portugal,"an espresso pulled for an extra long time, served in a mug",,,,,,,,not to be confused with <i>café americano</i>,,Coffee
café,pt-PT,Portugal,lit. “coffee”; normally an espresso,,https://en.wikipedia.org/wiki/Bica_(coffee),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Caf%C3%A9_Delta.jpg/1600px-Caf%C3%A9_Delta.jpg?20111106094336,"bica [Lisbon], cimbalino [Porto]",,,,"Can be ordered <i>cheio</i> (long, lit. “full”), <i>italiano</i> (short; alt. curto), <i>descafeinado</i> (decaffeinated), <i>duplo</i> (double).",,Coffee
café americano,pt-PT,Portugal,an espresso diluted with hot water,,https://en.wikipedia.org/wiki/Caff%C3%A8_Americano,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Hokitika_Cheese_and_Deli%2C_Hokitika_%283526706594%29.jpg/799px-Hokitika_Cheese_and_Deli%2C_Hokitika_%283526706594%29.jpg?20130128023339,,,,,see also <i>abatanado</i>,,Coffee
café com cheirinho,pt-PT,Portugal,an espresso with a dose of alcohol (brandy or aguardente),,,,,,,,,Alcohol,Coffee
café com leite,pt-PT,Portugal,lit. “coffee with milk”,,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait,,,,,,,⚠️ Milk,Coffee
cappuccino,pt-PT,Portugal,an espresso with milk foam,,https://en.wikipedia.org/wiki/Cappuccino,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Estoril%2C_Piccadilly_bar%2C_cappuccino_-_panoramio.jpg/1600px-Estoril%2C_Piccadilly_bar%2C_cappuccino_-_panoramio.jpg?20170307135841,,,,,,⚠️ Milk,Coffee
carioca,pt-PT,Portugal,"a weak espresso, made from the second pull",,,,,,,,,,Coffee
galão,pt-PT,Portugal,"coffee with milk, served in a tall glass",,https://en.wikipedia.org/wiki/Gal%C3%A3o,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Gal%C3%A3o.jpg/894px-Gal%C3%A3o.jpg?20130302120048,,,,,lit. “gallon”,⚠️ Milk,Coffee
"garoto [Lisbon], pingo [Porto]",pt-PT,Portugal,"latte macchiato: steamed milk with a little bit of coffee, served in a demitasse",,,,,,,,"lit. ""boy”",⚠️ Milk,Coffee
meia de leite,pt-PT,Portugal,"coffee with milk, served in a large cup. lit. “half of milk” (compared to galão)",,,,,,,,,⚠️ Milk,Coffee
pingado,pt-PT,Portugal,macchiato: espresso with a spot of milk. not to be confused with <i>pingo</i>,,https://en.wikipedia.org/wiki/Caff%C3%A8_macchiato,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Latte_art_heart_Garden_Caff%C3%A9_Portugal_20190118.jpg/1200px-Latte_art_heart_Garden_Caff%C3%A9_Portugal_20190118.jpg?20190324171034,,,,,,⚠️ Milk,Coffee
川香椒麻鱼,zh-CH,"Sichuan, China",fiery and numbing fish dish with Sichuan peppercorns and spices,spicy pepper fish,,,,,"seafood,mala,spicy,sichuan",,,⚠️ Fish,Main
清蒸比目,zh-CH,"Sichuan, China","fresh flatfish steamed to perfection, highlighting its natural flavors",steamed flatfish,,,,,"seafood,sichuan",,,⚠️ Fish,Main
茄汁大虾,zh-CH,"Sichuan, China",juicy prawns served with a savory tomato-based sauce,prawns with tomato sauce,,,,,"seafood,sichuan",,,⚠️ Shellfish,Main
香辣大虾,zh-CH,"Sichuan, China",succulent prawns cooked in aromatic and spicy seasoning,spicy prawns,,,,,seafood,,,⚠️ Shellfish,Main
（东来顺）手工切鲜羊肉,zh-CN,China,Donglaishun Hand Cutting Fresh Lamb Slices,Donglaishun Hand Cutting Fresh Lamb Slices,,,,,,,,lamb,Main
（东来顺）极品磨裆（生吃）,zh-CN,China,Donglaishun Superior Lamb Slices (Raw),Donglaishun Superior Lamb Slices (Raw),,,,,,,,lamb,Main
（东来顺）特制羊上脑,zh-CN,China,Donglaishun Special Lamb Brain,Donglaishun Special Lamb Brain,,,,,,,,lamb,Main
（东来顺）特制羊后腿,zh-CN,China,Donglaishun Special Lamb Slices from the Back Leg of Lamb,Donglaishun Special Lamb Slices from the Back Leg of Lamb,,,,,,,,lamb,Main
（东来顺）特制羊尾,zh-CN,China,Donglaishun Special Lamb Tail,Donglaishun Special Lamb Tail,,,,,,,,,
（东来顺）特制羊肉片,zh-CN,China,Donglaishun Special Lamb Slices,Donglaishun Special Lamb Slices,,,,,,,,,
（东来顺）特制肥羊肉,zh-CN,China,Donglaishun Special Rich Lamb Slices,Donglaishun Special Rich Lamb Slices,,,,,,,,,
(东来顺)精选牛上脑,zh-CN,China,Donglaishun Superior Beef Brain,Donglaishun Superior Beef Brain,,,,,,,,,
(东来顺)精选牛眼肉,zh-CN,China,Donglaishun Superior Beef Eyes,Donglaishun Superior Beef Eyes,,,,,,,,,
(东来顺)精选雪花肥牛,zh-CN,China,Donglaishun Superior Beef Slices,Donglaishun Superior Beef Slices,,,,,,,,,
（东来顺）钻石级杜泊羊,zh-CN,China,Donglaishun Top Grade Lamb Slices,Donglaishun Top Grade Lamb Slices,,,,,,,,,
XO酱炒牛柳条,zh-CN,China,Sautéed Beef Fillet in XO Sauce,Sautéed Beef Fillet in XO Sauce,,,,,,,,,
XO酱爆乳鸽脯,zh-CN,China,Sautéed Pigeon Breast in XO Sauce,Sautéed Pigeon Breast in XO Sauce,,,,,,,,,
XO酱爆北极裙,zh-CN,China,Stir-Fried Fringe Shell with XO Sauce,Stir-Fried Fringe Shell with XO Sauce,,,,,,,,,
XO酱花枝片,zh-CN,China,Sautéed Sliced Cuttlefish with XO Sauce,Sautéed Sliced Cuttlefish with XO Sauce,,,,,,,,,
XO酱莲藕炒海螺片,zh-CN,China,Sautéed Sliced Sea Whelks and Lotus Root with XO Sauce,Sautéed Sliced Sea Whelks and Lotus Root with XO Sauce,,,,,,,,,
XO酱虾子肉松茄子煲,zh-CN,China,Braised Eggplant with Shrimps and Pork Floss with XO Sauce in Casserole,Braised Eggplant with Shrimps and Pork Floss with XO Sauce in Casserole,,,,,,,,,
XO酱银杏果百合炒虾仁,zh-CN,China,Sautéed Shrimp with Lily Bulbs and Gingko with XO Sauce,Sautéed Shrimp with Lily Bulbs and Gingko with XO Sauce,,,,,,,,,
XO酱鲜椒煎带子,zh-CN,China,Fried Scallops with XO Sauce and Fresh Pepper,Fried Scallops with XO Sauce and Fresh Pepper,,,,,,,,,
チャーシュー,zh-CN,Japan,Braised pork belly,chashu,,,,,,,,,
一品蒜花鸡,zh-CN,China,Top Class Chicken with Garlic,Top Class Chicken with Garlic,,,,,,,,,
一鸡三吃,zh-CN,China,A Chicken Prepared and Served in Three Ways,A Chicken Prepared and Served in Three Ways,,,,,,,,,
三丝木耳,zh-CN,China,Black Fungus with Cucumber and Vermicelli,Black Fungus with Cucumber and Vermicelli,,,,,,,,,
三丝翅羹,zh-CN,China,"Braised Ham, Mushroom and Bamboo Shoot in Shark Fin Soup","Braised Ham, Mushroom and Bamboo Shoot in Shark Fin Soup",,,,,,,,,
三彩牛肉丝,zh-CN,China,Sautéed Shredded Beef with Vegetables,Sautéed Shredded Beef with Vegetables,,,,,,,,,
三文鱼刺身,zh-CN,China,Salmon Sashimi,Salmon Sashimi,,,,,,,,,
三杯鸡,zh-CN,China,Stewed Chicken with Ginger and Wine in Casserole,Stewed Chicken with Ginger and Wine in Casserole,,,,,,,,,
三色中卷,zh-CN,China,"Squid Rolls Stuffed with Bean, Ham and Egg Yolk","Squid Rolls Stuffed with Bean, Ham and Egg Yolk",,,,,,,,,
三色鲍鱼菇,zh-CN,China,Sautéed Abalone Mushrooms and Vegetables,Sautéed Abalone Mushrooms and Vegetables,,,,,,,,,
三鲜鸭包芋艿,zh-CN,China,Deep-Fried Duck and Taro Rolls,Deep-Fried Duck and Taro Rolls,,,,,,,,,
上海炒年糕,zh-CN,"China, Shanghai",rice cakes stir fried with pork and cabbage,stir fried rice cakes,,,"stir fried rice cakes, chao nian gao",,rice noodles,,Stir fried rice cakes are a common dish and can be found in a variety of combinations of protein and vegetable,"🐖 Pork,⚠️ Soy",Main
上海粗炒面,zh-CN,"China, Shanghai",thick wheat noodles stir fried with pork and choy sum,shanghai thick chow mein,,,cu chao mian,,noodles,,Thick noodles are similar to udon noodles. This dish can be found with a variety of protein and vegetable combinations,"🐖 Pork,⚠️ Soy,⚠️ Wheat",Main
上素炒鸽脯,zh-CN,China,Sautéed Pigeon Breast with Vegetables,Sautéed Pigeon Breast with Vegetables,,,,,,,,,
东古一品螺,zh-CN,China,Sautéed Whelks in Soy Sauce,Sautéed Whelks in Soy Sauce,,,,,,,,,
东坡方肉,zh-CN,China,Dongpo Cubed Pork,Dongpo Cubed Pork,,,,,,,,,
东坡肘子,zh-CN,China,Dongpo Pig Knuckle,Dongpo Pig Knuckle,,,,,,,,,
东坡银鳕鱼,zh-CN,China,Dongpo Steamed Codfish with Preserved Vegetables,Dongpo Steamed Codfish with Preserved Vegetables,,,,,,,,,
两吃干炸丸子,zh-CN,China,Deep-Fried Meat Balls Served with Two Sauces,Deep-Fried Meat Balls Served with Two Sauces,,,,,,,,,
中式牛排,zh-CN,China,"Beef Steak with Tomato Sauce, Chinese Style","Beef Steak with Tomato Sauce, Chinese Style",,,,,,,,,
中式牛柳,zh-CN,China,"Beef Tenderloin with Tomato Sauce, Chinese Style","Beef Tenderloin with Tomato Sauce, Chinese Style",,,,,,,,,
串串辣子虾,zh-CN,China,Shrimp Kebab with Spicy Sauce,Shrimp Kebab with Spicy Sauce,,,,,,,,,
乌龙吐珠,zh-CN,China,Sea Cucumber with Quail Eggs,Sea Cucumber with Quail Eggs,,,,,,,,,
九转大肠,zh-CN,China,Braised Intestines in Brown Sauce,Braised Intestines in Brown Sauce,,,,,,,,,
九重鲜鲍,zh-CN,China,Sautéed Fresh Abalone with Basil,Sautéed Fresh Abalone with Basil,,,,,,,,,
乳猪拼盘,zh-CN,China,Roast Suckling Pig,Roast Suckling Pig,,,,,,,,,
乾炒牛河,zh-CN,"China, Guangdong",stir fried beef and wide rice noodles,beef chow fun,https://en.wikipedia.org/wiki/Beef_chow_fun,https://upload.wikimedia.org/wikipedia/commons/a/a0/Beefchowfoon.jpg,"dry fried beef Shahe noodles, hor fun, dry-fried beef hor fun, beef ho fun, 干炒牛河",,"stir-fry,traditional",,,"Rice,⚠️ Soy,🐄 Beef",Main
云腿芥菜胆,zh-CN,China,Sautéed Chinese Broccoli with Ham,Sautéed Chinese Broccoli with Ham,,,,,,,,,
云腿骨香炒鸽片,zh-CN,China,Sautéed Sliced Pigeon with Ham,Sautéed Sliced Pigeon with Ham,,,,,,,,,
五味九孔,zh-CN,China,Fresh Abalone in Spicy Sauce,Fresh Abalone in Spicy Sauce,,,,,,,,,
五味牛腱,zh-CN,China,Multi-Spiced Beef Shank,Multi-Spiced Beef Shank,,,,,,,,,
五彩酱鹅肝,zh-CN,China,Goose Liver with White Gourd,Goose Liver with White Gourd,,,,,,,,,
五花肉炖萝卜皮,zh-CN,China,Stewed Pork Belly with Turnip Peel,Stewed Pork Belly with Turnip Peel,,,,,,,,,
